# weak scaling, 90% GPU, 10% CPU
1 500 6.745295
2 1000 13.998343
3 1500 41.507197
4 2000  57.898815
5 2500 80.021010
6 3000 97.425449
7 3500 131.632526
8 4000 163.902794
9 4500 196.567419
10 5000 221.492612
12 6000 235.981421
